Question Number,Question Title,Voted On Question?,Vote Index,Vote Title,Voter Name,Voter Email,Vote Time
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,R,278,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,M,285,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,S,360,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,T,430,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,U,500,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,V,450,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,W,318,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,X,413,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,Y,263,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,Z,356,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,{,256,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,|,357,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,},225,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,~,645,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,M,285,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,W,318,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,U,500,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,H,315,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,W,318,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,200,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,342,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,H,315,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,V,450,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,252,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,445,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,,247,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,C,249,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
